id,name,from,to,place_id,description
1,"Opening Ceremony & Welcome Toast","2025-07-11 18:00:00","2025-07-11 19:00:00",1,"Join us for the official start of the festival with a welcome from the organizers and a celebratory toast."
2,"Folk Music Concert by 'Bodajki Visszhang'","2025-07-11 19:30:00","2025-07-11 20:30:00",2,"Enjoy an evening of traditional Hungarian folk music with the beloved local band, 'Bodajki Visszhang'."
3,"DJ Set: Summer Night Grooves","2025-07-11 21:00:00","2025-07-11 22:00:00",4,"Dance the night away by the lake with a mix of summer hits and electronic grooves."
4,"Morning Yoga by the Lake","2025-07-12 09:00:00","2025-07-12 10:00:00",4,"Start your day with a refreshing and energizing yoga session overlooking the beautiful Bodajk Lake."
5,"Local Artisan Craft Fair","2025-07-12 10:00:00","2025-07-12 11:00:00",1,"Discover unique, handmade goods from local artists and craftspeople at our town square market."
6,"Historical Talk: The Story of Bodajk","2025-07-12 11:30:00","2025-07-12 12:30:00",5,"Learn about the rich history of our town in this engaging talk set in the museum garden."
7,"Children's Story Hour","2025-07-12 14:00:00","2025-07-12 15:00:00",2,"A fun and interactive story session for the youngest festival-goers."
8,"Classical Music Recital","2025-07-12 16:00:00","2025-07-12 17:00:00",3,"Experience a serene afternoon with a beautiful classical music performance inside Saint Stephen's Church."
9,"Wine Tasting: Local Vineyards","2025-07-12 17:30:00","2025-07-12 18:30:00",5,"Sample a selection of fine wines from the region's best local vineyards."
10,"Sunset Acoustic Session","2025-07-12 19:00:00","2025-07-12 20:00:00",4,"Relax and unwind with a live acoustic music performance as the sun sets over the lake."
11,"Open Air Movie Screening","2025-07-12 21:00:00","2025-07-12 22:30:00",1,"Enjoy a classic film under the stars in the heart of the town square."
12,"Community Breakfast","2025-07-13 09:30:00","2025-07-13 10:30:00",1,"Share a delicious breakfast with fellow festival attendees and community members."
13,"Guided Tour of Saint Stephen's Church","2025-07-13 11:00:00","2025-07-13 12:00:00",3,"Take a guided tour to explore the architecture and history of this significant local landmark."
14,"Photography Workshop: Capturing Bodajk","2025-07-13 13:00:00","2025-07-13 14:00:00",5,"Learn tips and tricks for capturing the beauty of Bodajk in this hands-on photography workshop."
15,"Closing Remarks & Future Plans","2025-07-13 15:00:00","2025-07-13 16:00:00",2,"Join us for the closing remarks of the festival and a look ahead to next year's event."